43.4696,43.4696
30.6566,74.1262
6.7347,80.8608
5.6093,86.4702
2.9002,89.3704
2.0313,91.4017
1.3305,92.7321
0.9432,93.6754
0.7952,94.4706
0.7085,95.1791
0.5644,95.7435
0.4577,96.2012
0.3897,96.5909
0.3434,96.9343
0.2762,97.2105
0.2721,97.4826
0.2172,97.6997
0.2073,97.907
0.1638,98.0708
0.1492,98.2201
0.1396,98.3596
0.1352,98.4948
0.1153,98.6101
0.1147,98.7248
0.1071,98.8318
0.0933,98.9251
0.0912,99.0163
0.0776,99.0939
0.0722,99.1661
0.0688,99.2349
0.0636,99.2985
0.0581,99.3566
0.051,99.4076
0.0502,99.4578
0.0456,99.5034
0.0394,99.5428
0.0381,99.5809
0.0339,99.6148
0.0316,99.6464
0.0301,99.6765
0.0263,99.7028
0.0223,99.7251
0.021,99.7461
0.0197,99.7658
0.0175,99.7833
0.0168,99.8001
0.0161,99.8162
0.015,99.8312
0.0141,99.8453
0.0125,99.8578
0.0118,99.8695
0.0116,99.8811
0.0104,99.8915
0.0097,99.9013
0.0085,99.9098
0.0082,99.918
0.0079,99.9259
0.0067,99.9326
0.0059,99.9385
0.0055,99.944
0.0049,99.9489
0.0048,99.9537
0.0043,99.958
0.0037,99.9617
0.0035,99.9652
0.0032,99.9684
0.003,99.9714
0.003,99.9744
0.0028,99.9771
0.0025,99.9796
0.0023,99.982
0.0022,99.9841
0.0019,99.986
0.0017,99.9878
0.0016,99.9893
0.0014,99.9907
0.0014,99.9921
0.0012,99.9933
0.0011,99.9943
0.001,99.9953
0.0009,99.9962
0.0008,99.997
0.0006,99.9976
0.0005,99.9981
0.0005,99.9986
0.0003,99.9989
0.0003,99.9992
0.0003,99.9994
0.0002,99.9996
0.0002,99.9998
0.0001,99.9999
0.0001,100
